ein;zip;tax_year;revenue_amt
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
105******;19********;2016;*****
*;*;*;*
*;*;*;*
105******;19********;;*****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
105******;19********;;*****
105******;19********;2016;*****
105******;19********;2017;0     *****
105******;19********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
105******;19********;;*****
*;*;*;*
106******;19********;;*****
106******;15********;;*****
106******;19********;2017;0     *****
*;*;*;*
106******;18********;2017;0     *****
*;*;*;*
*;*;*;*
106******;16********;2016;0     *****
106******;17********;2016;0     *****
*;*;*;*
106******;16********;2016;0     *****
106******;19********;2017;0     *****
106******;17********;2016;0     *****
106******;19********;;*****
*;*;*;*
106******;15********;2017;0     *****
106******;15********;2017;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
106******;16********;2016;0     *****
*;*;*;*
*;*;*;*
106******;15********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
106******;17********;2017;0     *****
106******;19********;2017;0     *****
106******;19********;2017;0     *****
106******;15********;2016;0     *****
106******;17********;2017;0     *****
106******;18********;2017;0     *****
106******;15********;2017;0     *****
*;*;*;*
*;*;*;*
106******;17********;2017;0     *****
*;*;*;*
*;*;*;*
106******;17********;2017;0     *****
106******;19********;2014;0     *****
106******;19********;2017;0     *****
*;*;*;*
106******;19********;2017;0     *****
106******;19********;;*****
106******;18********;2017;0     *****
106******;16********;;*****
*;*;*;*
106******;16********;;*****
106******;19********;;*****
*;*;*;*
*;*;*;*
106******;17********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
*;*;*;*
106******;15********;2016;0     *****
106******;19********;2014;0     *****
106******;15********;;*****
107******;17********;2017;0     *****
*;*;*;*
107******;17********;2016;0     *****
107******;15********;2016;0     *****
107******;19********;2016;0     *****
107******;16********;2017;0     *****
107******;18********;2017;0     *****
107******;19********;2017;0     *****
*;*;*;*
107******;15********;;*****
107******;18********;2016;0     *****
107******;17********;2016;0     *****
*;*;*;*
107******;15********;2016;0     *****
107******;16********;2016;0     *****
107******;19********;2016;0     *****
107******;17********;2016;0     *****
*;*;*;*
107******;16********;2016;0     *****
*;*;*;*
*;*;*;*
*;*;*;*
107******;18********;2017;0     *****
*;*;*;*
107******;19********;2016;0     *****
107******;19********;2016;0     *****
*;*;*;*
107******;16********;2016;0     *****
107******;19********;2017;0     *****
*;*;*;*
107******;19********;2016;0     *****
107******;16********;2017;0     *****
107******;19********;2016;0     *****
*;*;*;*
107******;18********;2016;0     *****
*;*;*;*
107******;19********;2016;0     *****
107******;15********;2017;0     *****
107******;19********;;*****
*;*;*;*
107******;18********;2017;0     *****
*;*;*;*
*;*;*;*
107******;15********;2017;0     *****
107******;16********;2017;0     *****
107******;17********;2017;0     *****
*;*;*;*
*;*;*;*
107******;17********;2016;0     *****
107******;19********;;*****
107******;19********;2016;0     *****
107******;19********;;*****
107******;15********;2016;0     *****
